title,year,rating,voting,duration,link
Raiders of the Lost Ark,1981,8.4,1000000.0,115,https://www.imdb.com/title/tt0082971/?ref_=chttp_t_59
12th Fail,2023,8.9,123000.0,147,https://www.imdb.com/title/tt23849204/?ref_=chttp_t_60
The Lives of Others,2006,8.4,413000.0,137,https://www.imdb.com/title/tt0405094/?ref_=chttp_t_61
Sunset Boulevard,1950,8.4,239000.0,110,https://www.imdb.com/title/tt0043014/?ref_=chttp_t_62
Avengers: Infinity War,2018,8.4,1200000.0,149,https://www.imdb.com/title/tt4154756/?ref_=chttp_t_63
Paths of Glory,1957,8.4,215000.0,88,https://www.imdb.com/title/tt0050825/?ref_=chttp_t_64
Spider-Man: Into the Spider-Verse,2018,8.4,683000.0,117,https://www.imdb.com/title/tt4633694/?ref_=chttp_t_65
Witness for the Prosecution,1957,8.4,139000.0,116,https://www.imdb.com/title/tt0051201/?ref_=chttp_t_66
The Shining,1980,8.4,1100000.0,146,https://www.imdb.com/title/tt0081505/?ref_=chttp_t_67
The Great Dictator,1940,8.4,239000.0,125,https://www.imdb.com/title/tt0032553/?ref_=chttp_t_68
Aliens,1986,8.4,770000.0,137,https://www.imdb.com/title/tt0090605/?ref_=chttp_t_69
Inglourious Basterds,2009,8.4,1600000.0,153,https://www.imdb.com/title/tt0361748/?ref_=chttp_t_70
The Dark Knight Rises,2012,8.4,1800000.0,164,https://www.imdb.com/title/tt1345836/?ref_=chttp_t_71
Coco,2017,8.4,603000.0,105,https://www.imdb.com/title/tt2380307/?ref_=chttp_t_72
Amadeus,1984,8.4,432000.0,160,https://www.imdb.com/title/tt0086879/?ref_=chttp_t_73
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,522000.0,95,https://www.imdb.com/title/tt0057012/?ref_=chttp_t_74
Oldboy,2003,8.3,644000.0,0,https://www.imdb.com/title/tt0364569/?ref_=chttp_t_75
American Beauty,1999,8.3,1200000.0,122,https://www.imdb.com/title/tt0169547/?ref_=chttp_t_76
Toy Story,1995,8.3,1100000.0,81,https://www.imdb.com/title/tt0114709/?ref_=chttp_t_77
Avengers: Endgame,2019,8.4,1300000.0,181,https://www.imdb.com/title/tt4154796/?ref_=chttp_t_78
Das Boot,1981,8.4,266000.0,149,https://www.imdb.com/title/tt0082096/?ref_=chttp_t_79
Braveheart,1995,8.3,1100000.0,178,https://www.imdb.com/title/tt0112573/?ref_=chttp_t_80
Good Will Hunting,1997,8.3,1100000.0,126,https://www.imdb.com/title/tt0119217/?ref_=chttp_t_81
Princess Mononoke,1997,8.3,439000.0,134,https://www.imdb.com/title/tt0119698/?ref_=chttp_t_82
Joker,2019,8.4,1500000.0,122,https://www.imdb.com/title/tt7286456/?ref_=chttp_t_83
Your Name.,2016,8.4,328000.0,106,https://www.imdb.com/title/tt5311514/?ref_=chttp_t_84
High and Low,1963,8.4,54000.0,143,https://www.imdb.com/title/tt0057565/?ref_=chttp_t_85
3 Idiots,2009,8.4,439000.0,170,https://www.imdb.com/title/tt1187043/?ref_=chttp_t_86
Once Upon a Time in America,1984,8.3,381000.0,229,https://www.imdb.com/title/tt0087843/?ref_=chttp_t_87
Singin' in the Rain,1952,8.3,263000.0,103,https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88
Capernaum,2018,8.4,107000.0,126,https://www.imdb.com/title/tt8267604/?ref_=chttp_t_89
Come and See,1985,8.4,100000.0,142,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90
Requiem for a Dream,2000,8.3,907000.0,102,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_91
Toy Story 3,2010,8.3,900000.0,103,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_92
Star Wars: Episode VI - Return of the Jedi,1983,8.3,1100000.0,131,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_93
Eternal Sunshine of the Spotless Mind,2004,8.3,1100000.0,108,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_94
The Hunt,2012,8.3,369000.0,115,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_95
2001: A Space Odyssey,1968,8.3,726000.0,149,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_96
Reservoir Dogs,1992,8.3,1100000.0,99,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_97
Ikiru,1952,8.3,89000.0,143,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_98
Lawrence of Arabia,1962,8.3,317000.0,218,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_99
The Apartment,1960,8.3,199000.0,125,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_100
Oppenheimer,2023,8.3,772000.0,0,https://www.imdb.com/title/tt15398776/?ref_=chttp_t_101
Incendies,2010,8.3,206000.0,131,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_102
North by Northwest,1959,8.3,349000.0,136,https://www.imdb.com/title/tt0053125/?ref_=chttp_t_103
Citizen Kane,1941,8.3,469000.0,119,https://www.imdb.com/title/tt0033467/?ref_=chttp_t_104
Scarface,1983,8.3,926000.0,170,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_105
Double Indemnity,1944,8.3,169000.0,107,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_106
M,1931,8.3,170000.0,99,https://www.imdb.com/title/tt0022100/?ref_=chttp_t_107
Vertigo,1958,8.3,431000.0,128,https://www.imdb.com/title/tt0052357/?ref_=chttp_t_108
Full Metal Jacket,1987,8.3,797000.0,116,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109
Amélie,2001,8.3,799000.0,122,https://www.imdb.com/title/tt0211915/?ref_=chttp_t_110
